"author_name","paper_title"
"Eduardo Reck Miranda","Composing Popular Music with Physarum polycephalum-based Memristors"
"Eduardo Reck Miranda","Designing Brain-computer Interfaces for Sonic Expression"
"Eduardo Soriano Goñi","Internet vernacular creativity. Vaporwave, counterculture and copyright."
"Eduardo Zalama Casanova","A Robust Monitoring Platform for Rural Cultural and Natural Heritage"
"Edward Braund","Designing Brain-computer Interfaces for Sonic Expression"
"Edward Braund","Composing Popular Music with Physarum polycephalum-based Memristors"
"Edward C. Warburton","A Performed Solution to the Pythagorean Problem: The Three Bodies Project"
"Edward Misback","Odyssey: An Interactive Workbench for Expert-Driven Floating-Point Expression Rewriting"
"Edward Shanken","Tipping the Scales: The Harrisons and the Force Majeure"
"Edward Shanken","Technoshamanism: Symbiotic Techniques of Art and Healing"
"Edwige Armand","Art, Science and Industry: A symbiotic milieu to rethink visions of the world"
"Edwin van der Heide","Towards a Relational Model of Co-located Interaction in Interactive Art"
"Edy Winarno","The Hybrid Features and Supervised Learning for Batik Pattern Classification"
"Eeman Al-Zubeidi","Evoking Sympathy Through Immersive Experiences in A Walk Alone"
"Eenjun Hwang","Cartoon-Flow: A Flow-Based Generative Adversarial Network for Arbitrary-Style Photo Cartoonization"
"Eero Hyvönen","Semantic Solutions for Democratizing Archaeological and Numismatic Data Analysis"
"Eero Hyvönen","LetterSampo–Historical Letters on the Semantic Web: A Framework and Its Application to Publishing and Using Epistolary Data"
"Eevee Zayas-Garin","Transmitting Digital Lutherie Knowledge: The Rashomon Effect for DMI Designers"
"Eevee Zayas-Garin","Exploring Experiences with New Musical Instruments through Microphenomenology"
"Eevee Zayas-Garin","Dialogic Design of Accessible Digital Musical Instruments: Investigating Performer Experience"
"Efthymia Moraitou","An Ontology-Based Framework for Supporting Decision-Making in Conservation and Restoration Interventions for Cultural Heritage"
"Egidio Del Fabbro","VoicingHan: between Mortal and Immortal"
"Einar Torfi Einarsson","Magnetic Interactions as a Somatosensory Interface"
"Einat Amir","Toward Equitable ArtScience Collaborations: Synthesizing Performance Art and Social Psychology for Social Change"
"Einat Amir","Act of Fiction: Simultaneously Experienced Multiple Perspectives of (Un)reality When Engaging with Narrative-Based Art"
"Eirini Kalaitzidi","Speculative annotation on human dance improvisations and their digital configurations"
"Eirini Sourgiadaki","Deconstructing the isolated astronaut-artist paradigm"
"Eito Murakami","RayTone: A Node-based Audiovisual Sequencing Environment"
"Ekaterina Cordas","Introduction: Animation Between Theory and Practice"
"Ekaterina R. Stepanova","Body RemiXer: Extending Bodies to Stimulate Social Connection in an Immersive Installation"
"Ekaterina R. Stepanova","Breath of Light: Reclaiming Shared Breathing Through a Meditative Installation"
"Eko Harry Pratisto","Virtual Reality at a Prehistoric Museum: Exploring the Influence of System Quality and Personality on User Intentions"
"EL Putnam","Pseudorandom: generative animation as performance in Emergent (2020–2022)"
"EL Putnam","Affiliated issue with 2020 College Art Association Annual Conference, ‘flesh and circuit: rethinking performance and technology’ (Chicago, IL, USA)"
"Elaine Chew","Viva Contemporary! Mobile Music Laboratory"
"Eldon Schoop","Never-ending Learning of User Interfaces"
"Eleanor Dare","Mycorrhizal Curation: minimal cognition for maximal cooperation"
"Elena B Sabinson","A Walk in Nature: Exploring the Creative Potentials of a Generative Design Tool for Soft Robotic Surfaces that Foster a Connection with Nature"
"Elena Băutu","Evaluating User Experience in the Context of Cultural Heritage Dissemination Using Extended Reality: A Case Study of the Dacian Bronze Matrix with Hollow Design"
"Elena Demidova","Qualia Formation through Sensory Substitution in Artistic Laboratories in Russia"
"Elena Georgieva","Instrument Design for The Furies: A LaptOpera"
"Elena Gubanova","The Observer Effect: The Artistic Image as a Metaphor for Scientific Interpretations of the Natural World | Эффект наблюдателя. Художественный образ как метафора научных интерпретаций природного мира"
"Elena Papadaki","Mycorrhizal Curation: minimal cognition for maximal cooperation"
"Eleni-Ira Panourgia","ClimaSynth: Enhancing Environmental Perception through Climate Change Sonic Interaction"
"Elia Vargas","Crude Illumination: A Crude Oil Art Inspection"
"Elif Kucuksayrac","Digital prototyping, open design, and sustainability in industrial design education: a case study"
"Elisabeth Andrè","Flow with the Beat! Human-Centered Design of Virtual Environments for Musical Creativity Support in VR"
"Elisabeth Pangratz","Towards an Implicit Metric of Sensory-Motor Accuracy: Brain Responses to Auditory Prediction Errors in Pianists"
"Elisabeth Schwartz","Visualizing Isadora Duncan’s movement qualities"
"Eliza Chandler","Resisting Normality with Cultural Accessibility and Slow Technology"
"Elizabeth Day","Abstracts from the Spectra 2018 Symposium Part 3: Nano-Optics"
"Elizabeth de Freitas","Mapping the atmospheric in school buildings: Digital art-based participatory inquiry with youth"
"Elizabeth Falter","William Shakespeare’s Much A-Zoom About Nothing"
"Elizabeth Jameson","Intimate Visions: Representations of the Imperfect Body in the Age of Digital Medicine"
"Elizabeth Lopez","FORM AND TIME / DECENTERING SITES OF ART STUDIO PEDAGOGY"
"Elizabeth McCaffrey","Displacement Flowers: Visualizing global human displacement due to natural disasters"
"Elizabeth McLain","Unseen Sound: One Step into the Blind Future (Academic Access Version)"
"Elizabeth Meiklejohn","Woven Behavior and Ornamentation: Simulation-Assisted Design and Application of Self-Shaping Woven Textiles"
"Elizabeth Sikiaridi","Deep Space: Re-signifying Vale de los Caídos"
"Elizabeth Waterhouse","‘I gave that cue.’ Integrating dance studies, praxeology, and computational perspectives to model change in the case study of William Forsythe’s Duo"
"Eljas Oksanen","Semantic Solutions for Democratizing Archaeological and Numismatic Data Analysis"
"Elke Reinhuber","The Gone Garden VR Experience – An Impressionistic Representation as Virtual Heritage Reconstruction"
"Ellen K. Levy","Heirloom Fruits of America: Selections from the USDA Pomological Watercolor Collection"
"Ellen Pearlman","Is There a Place in Human Consciousness Where Surveillance Cannot Go? Noor: A Brain Opera"
"Ellen Pearlman","AIBO: An Emotionally Intelligent Artificial Intelligence Brainwave Opera - Proof of Concept"
"Ellen Pearlman","AIBO: An Emotionally Intelligent Artificial Intelligent Brainwave Opera: Part 2, Or The Making Of A “Sicko” AI"
"Ellen Yi Luen Do","Build Your Own Arcade Machine with Tinycade"
"Elli Kuruş","Splitting Defense: A Methodological Journey into the Material Basis of Practice-Based Research"
"Ellie Abrams","CHILLER: a Computer Human Interface for the Live Labeling of Emotional Responses"
"Elliott Wilson","Sleeping Eyes: VR narcolepsy storytelling through the duality of presence"
"Elliott Wilson","AirSticks 2.0: Instrument Design for Expressive Gestural Interaction"
"Ema Lavrador","Video Games Against the Male Gaze"
"Eman Al-Zubeidi","One Step: The Impact of Interactive Public Installations on Promoting Public Awareness of Poverty Issues"
"Emanuel Aldea","Multi-Temporal Image Analysis for Preventive Conservation of Historical Musical Instruments"
"Emanuela Corti","Lovewear: Haptic Clothing that Allows Intimate Exploration for Movement-Impaired People"
"Emanuela Mitreva","Full-Fledged Access and Usability of Content in a Digital Cultural Heritage Library: Approaches, Paradigms, and Implementation"
"Emanuele Frontoni","Evaluating Learning Outcomes of Virtual Reality Applications in Education: A Proposal for Digital Cultural Heritage"
"Emanuele Lenzi","Using Semantic Web to Create and Explore an Index of Toponyms Cited in Medieval Geographical Works"
"Emanuelle de Oliveira Silva","Art museums facing the light of reality: an approach to virtual reality inside museums"
"Emie // Eva-Marie Elg","‘A Sexual Series’"
"Emil Osorio-Schmied","Light Mantle: Quantifying Daylight Perception in Edward Hopper’s Spaces"
"Emile Blettery","Heritage Iconographic Content Structuring: from Automatic Linking to Visual Validation"
"Emily Chen","GestureCanvas: A Programming by Demonstration System for Prototyping Compound Freehand Interaction in VR"
"Emily Doherty","Stringesthesia: Dynamically Shifting Musical Agency Between Audience and Performer Based on Trust in an Interactive and Improvised Performance"
"Emily Graber","Viva Contemporary! Mobile Music Laboratory"
"Emily Groves","Ming Shan Digital Experience: Immersive Technology for Traditional Taoist Meditation"
"Emily L. Spratt","Gastronomic Algorithms: Artistic and Sensory Exploration of Alain Passard’s Michelin Plates in the Manner of Giuseppe Arcimboldo with GANs"
"Emine Eren Tarakci","Virtual Reconstruction with the Augmented Reality Technology of the Cultural Heritage Components that have Disappeared: The Ayazini Virgin Mary Church"
"Emir Efendic","Explorations of Interactive Research Artifacts in Use: Applying Research through Design to Understand Ways Scholars Leverage Interactivity in their Research Practices"
"Emit Snake-Beings","DIY (Do-It-Yourself) Electronics, Coin-Operated Relic Boxes and Techno-Animist Shrines"
"Emma Frid","Reimagining (Accessible) Digital Musical Instruments: A Survey on Electronic Music-Making Tools"
"Emma Margetson","Sonification of High Energy Physics Data Using Live Coding and Web Based Interfaces"
"Emma Weitkamp","Visualizing the Invisible: Performing Chaos Theory"
"Emma Wood","Networking concert halls, musicians, and interactive textiles: Interwoven Sound Spaces"
"Emma Wood","Folded Electronic Textiles: Weaving, Knitting, Pleating and Coating Three-Dimensional Sensor Structures"
"Emmanouil Dimogerontakis","MusiCane: an Accessible Digital Instrument inspired by the white cane"
"Emmanuel Durand","Immersive environments, video tracking and collective interactivity on smartphone : a generic “dispositif”"
"Emmanuel Mahé","Signatory Robots"
"Enar de Dios Rodríguez","Artists’ Note: SEEC: Photography at the Speed of Light"
"Enda Bates","Samuel Beckett in Virtual Reality: Exploring Narrative Using Free Viewpoint Video"
"Enes Yildiz","The Effect of Muqarnas on Acoustic Quality of Traditional Turkish Bath Interior Space"
"Eni Protić","Mobile Serious Game for Enhancing User Experience in Museum"
"Enric Mor","Power and Resistance in Digital Degrowth"
"Enric Mor","Debunking the quantified self through artistic data portraits"
"Enrico Daga","CLEF. A Linked Open Data Native System for Crowdsourcing"
"Enrico Dorigatti","Circuit Bending and Environmental Sustainability: Current Situation and Steps Forward"
"Enrico Gobbetti","Exploiting Local Shape and Material Similarity for Effective SV-BRDF Reconstruction from Sparse Multi-Light Image Collections"
"Enrique Tabone","Naked data: curating Wikidata as an artistic medium to interpret prehistoric figurines"
"Enrique Tomás","A Playful Approach to Teaching NIME: Pedagogical Methods from a Practice-Based Perspective"
"Enrique Tomás","Embodied Gestures: Sculpting Energy-Motion Models into Musical Interfaces"
"Enrique Tomás","Exploring Design Patterns for Spatial Instruments: User-Driven Strategies, Spatialized Synthesis and Loudspeaker Topologies"
"Enza Migliore","A Grain of: A Multimodal Representation of the City’s Ecology Through Material and Sound"
"Eoghain Meakin","Video game structural layers for narrative design and articulation"
"Erandy Vergara-Vargas","Online Possibles: Internet Spaces in a Postdigital World"
"Ergun Akleman","Dynamic Paintings: Real-Time Interactive Artworks in Web"
"Eric Easthope","SnakeSynth: New Interactions for Generative Audio Synthesis"
"Eric Paulos","Creative and Motivational Strategies Used by Expert Creative Practitioners"
"Eric Rawn","Beyond the Artifact: Power as a Lens for Creativity Support Tools"
"Eric Sheffield","Rethinking networked collaboration in the live coding environment Gibber"
"Eric Xu","Live Coding Ensemble as Accessible Classroom"
"Erica Deluchi","Making Sense of Indeterminate Representations of Land in Contemporary Markets"
"Erik Brunvand","Collective Currents: Exploring Sustainability through a Collaborative and Interactive Installation"
"Erik Harpstead","The View from MARS: Empowering Game Stream Viewers with Metadata Augmented Real-time Streaming"
"Erik Nyström","Intra-Actions: Experiments with Velocity and Position in Continuous Controllers"
"Erik Stifjell","A FLexible Musical Instrument Augmentation that is Programmable, Integrated in a Box (FLAPIBox)"
"Erika Jean Lincoln","Crip-Techno-Tinkerism: A Neurodivergent Learning Style Meets Machine Learning"
"Erin Dickson","The Data Imaginaries of Climate Art: The Manifest Data Project"
"Erin Espelie","A Nest for Art and Science"
"Erin Gee","The BioSynth—an affective biofeedback device grounded in feminist thought"
"Erin Lewis","Tuning in: Reflecting in the Wake of Blackness through a Knitted Flower Antenna"
"Erin M Demastes","The Conductive Kinetic Box"
"Erin M. Gee","Playing with Emotions: Biosignal-based Control in Virtual Reality Game Project H.E.A.R.T"
"Ernesto Peña","Raw Harmonies: Transmediation through Raw Data"
"Ernesto Taborda-Hernández","Narrative Structure in ""Pulp Fiction"""
"Ernesto Taborda-Hernández","Analysis of the narrative communication characteristics of virtual reality experiences: meaning-making components of the immersive story"
"Eryk Salvaggio","Infinite Barnacle: The AI Image and Imagination in GANs from Personal Snapshots"
"Esen Gökçe Özdamar","A neuroarchitectural perspective to immersive architectural environments"
"Eslam Nofal","Co-gnito: a Participatory Physicalization Game for Urban Mental Mapping"
"Esteban Calcagno","Bandoneon 2.0: an interdisciplinary project for research and development of electronic bandoneons in Argentina"
"Esteban García Bravo","Traditional African Dances Preservation Using Deep Learning Techniques"
"Esteban García Bravo","Using Experimental Filmmaking to Create an Engaging Brain-Computer Interface"
"Esteban R. Calcagno","An embedded wavetable synthesizer for the electronic bandoneon with parameter mappings based on acoustical measurements"
"Esteban Y. Agosin","Extended Listening: Towards non-humans interpretation of the sound environment through AI systems"
"Estelle Schorpp","Écosystème(s): a self-interactive sound installation"
"Esther Dessewffy","Tracing (in)visibilising practices: engaging with simulations for architecture and spatial planning"
"Esther Gruy","MagneTip: Reintroducing a Physical Interaction Loop for 3D Musical Drawing in eXtended Reality"
"Esther Vargas-Gil","Diverse Cultural Thought In The European Context Through Music Collaboration Networks"
"Ethel Mizrahy Cuperschmid","Virtual Reconstruction of the Deconstructed Heritage: The Former Building of the Belo Horizonte School of Medicine"
"Etienne Armand Amato","For a more symbiotic co-individuation with our technological avatars: how to go, with the Sciences and the Arts, beyond hybridizations?"
"Etienne Péreny","For a more symbiotic co-individuation with our technological avatars: how to go, with the Sciences and the Arts, beyond hybridizations?"
"Eugene Ch’ng","Harnessing Collective Differences in Crowdsourcing Behaviour for Mass Photogrammetry of 3D Cultural Heritage"
"Eugene Ch’ng","Social Augmented Reality: Communicating via Cultural Heritage"
"Eugene Han","Representing Hierarchies of Visual Regard in Eye-Tracking Analysis"
"Eugene Han","Visualizing Spatial Gaze Data in the Perception of 3D Objects"
"Eugene Kim","Cross-platform and Cross-reality Design of Immersive Sonic Environments"
"Eun Sun Chu","Colors For All: Immersive Narrative 360 Video for Color Blind Awareness"
"Eunhoo Kim","Artwork Recommendations based on User Preferences: Integrating Clustering Analysis with Visual Features"
"Eunice Jun","Odyssey: An Interactive Workbench for Expert-Driven Floating-Point Expression Rewriting"
"Eunil Park","Artwork Recommendations based on User Preferences: Integrating Clustering Analysis with Visual Features"
"Eunsu Kang","The Myths of Our Time: Fake News"
"Eunsu Kang","Developing Creative AI to Generate Sculptural Objects"
"Eunsu Kang","Legend of Wrong Mountain: AI Generated Opera"
"Eunsu Kang","Machinic Surrogates: Human-Machine Relationships in Computational Creativity"
"Eva Direito","(Re)imagining human-yeasts relations via art-science collaboration"
"Eva Knoll","Mathematical Inspiration for Color Choices in Oblique, Open-Work Weaving"
"Eve Hoggan","Mirrorverse: Live Tailoring of Video Conferencing Interfaces"
"Everardo Reyes","Cultural Viz: An Aesthetic Approach to Cultural Analytics"
"Evgenia Emets","KIMA: The Wheel—Voice Turned into Vision: A Participatory, Immersive Visual Soundscape Installation"
"Ewa Drygalska","Technologically Mediated Experiences of Visitors to the Frederic Chopin Museum: Postphenomenological Perspective on Touchscreens Affordances"
"Eytan Adar","Authors' Values and Attitudes Towards AI-bridged Scalable Personalization of Creative Language Arts"
"Eytan Adar","PromptPaint: Steering Text-to-Image Generation Through Paint Medium-like Interactions"
"Ezgi Tuncer","Representations of everyday life in İnci Eviner’s We, Elsewhere: comedy, use and free will"
"Fabeha Monir","A Case for Play: Immersive Storytelling of Rohingya Refugee Experience"
"Fabian Wildgrube","Flow with the Beat! Human-Centered Design of Virtual Environments for Musical Creativity Support in VR"
"Fabio Bettio","Exploiting Local Shape and Material Similarity for Effective SV-BRDF Reconstruction from Sparse Multi-Light Image Collections"
"Fabio Marton","Exploiting Local Shape and Material Similarity for Effective SV-BRDF Reconstruction from Sparse Multi-Light Image Collections"
"Fabio Morreale","TAILSPIN: An Inquiry into the Audio-Visual Feedback Equilibrium"
"Fabio Morreale","A NIME of the Times: Developing an Outward-Looking Political Agenda For This Community"
"Fabio Morreale","Design for auditory imagery: altering instruments to explore performer fluency"
"Fabio Morreale","Occupational Therapy Methods in the Design of Accessible Musical Instruments"
"Fabio Morreale","The O in NIME: Reflecting on the Importance of Reusing and Repurposing Old Musical Instruments"
"Fabricio Beggiato Baccaro","Cryptic insect soundscapes: Ecological sound art as a prompt for auralization"
"Fabrizio Lamberti","Passive Haptics and Conversational Avatars for Interacting with Ancient Egypt Remains in High-Fidelity Virtual Reality Experiences"
"Fabrizio Sebastiani","Explainable Authorship Identification in Cultural Heritage Applications"
"Faeze Brahman","Creativity Support in the Age of Large Language Models: An Empirical Study Involving Professional Writers"
"Fan Tang","Portrait Map Art Generation By Asymmetric Image-to-Image Translation"
"Fan Tang","Draw Your Art Dream: Diverse Digital Art Synthesis with Multimodal Guided Diffusion"
"Fan Xiang","FaceType: Crafting Written Impressions of Spoken Expression"
"Fan Xiang","Enhanced Family Tree: Evolving Research and Expression"
"Fan Xiang","Enhanced Family Tree: Evolving Research and Expression: Best Paper Award"
"Fanbo Meng","GroupDancer: Music to Multi-People Dance Synthesis with Style Collaboration"
"Fang Fang","Humanity Test — EEG Data Mediated Artificial Intelligence Multiplayer Interactive System"
"Fang Liu","Under the Green: Visual data storytelling the process of urban CO2 neutralization by forests"
"Fang Liu","Understanding and Identifying Artwork Plagiarism with the Wisdom of Designers: A Case Study on Poster Artworks"
"Fanke Peng","Exploring the role of immersive technology in digitally representing contemporary crafts within hybrid museum exhibitions: a scoping review"
"Fanny Curtsson","The Rullen Band"
"Fanyue Zeng","Research, Representation, and Conservation of Mani Heaps: The Digitalization Projects"
"Farshad Zahedi","The Petrified Object and the Poetics of Time in Cinema"
"Farzaneh Oghazian","Tuning in: Reflecting in the Wake of Blackness through a Knitted Flower Antenna"
"Fatimah Alruwaili","Tweet for help: the role of social media in disaster events and the case of the 2015 Mina stampede"
"Fede Camara Halac","The Woods: A Mixed-Reality Two-Player Cooperative Game"
"Federico Avanzini","A Dimension Space for the Evaluation of Accessible Digital Musical Instruments"
"Federico Camara Halac","PathoSonic: Performing Sound In Virtual Reality Feature Space"
"Federico Nanni","What Is in a <unittitle>? Cross-lingual Topic Detection & Information Retrieval in Archives Portal Europe"
"Federico Nurra","New AIR for the Archaeological Process? The Use of 3D Web Semantic for Publishing Archaeological Reports"
"Federico Visi","Networking concert halls, musicians, and interactive textiles: Interwoven Sound Spaces"
"Federico Visi","The Sophtar: a networkable feedback string instrument with embedded machine learning"
"Federico Visi","Global Hyperorgan: a platform for telematic musicking and research"
"Fei Chao","Sundial-GAN: A Cascade Generative Adversarial Networks Framework for Deciphering Oracle Bone Inscriptions"
"Fei Wu","Reconnecting the Broken Civilization: Patchwork Integration of Fragments from Ancient Manuscripts"
"Felecia Davis","Tuning in: Reflecting in the Wake of Blackness through a Knitted Flower Antenna"
"Felicita Devlin","Woven Behavior and Ornamentation: Simulation-Assisted Design and Application of Self-Shaping Woven Textiles"
"Felicity Wilcox","Audiovisual gesture and spectromorphology: the Invalid Data W.E.S.T. project"
"Felipe César Londoño","Virtual museums: heritage and future of mediated UX?"
"Felipe Gértrudix-Barrio","Diverse Cultural Thought In The European Context Through Music Collaboration Networks"
"Felipe Otondo","The Soundlapse Project: Exploring Spatiotemporal Features of Wetland Soundscapes"
"Felipe Verdugo","Feeling the Effort of Classical Musicians - A Pipeline from Electromyography to Smartphone Vibration for Live Music Performance"
"Feng Lin","WavoID: Robust and Secure Multi-modal User Identification via mmWave-voice Mechanism"
"Feng Tian","Exploring Locomotion Methods with Upright Redirected Views for VR Users in Reclining & Lying Positions"
"Feng Zhou","Personalising prosthetics: digital interventions in disability and dance"
"Fengzhou Liang","Under the Green: Visual data storytelling the process of urban CO2 neutralization by forests"
"Fernando Lopez-Lezcano","Affordable Speaker Arrays"
"Fernando Luna","SPATIAL INSTALLATIONS FROM INCIDENTS OF LIGHTS AND SHADOWS APPLIED IN ARCHITECTURE TEACHING"
"Fernando Martín Velazco","The Leviathan’s Playing: Retrospective on Mediations with Gray Whales in the Ojo de Liebre Lagoon (Mexico)"
"Fernando Vilariño Freire","Public Library Consoles – Publishing Collections with the Flick of a Hand"
"Ferran Lega Lladós","Cymatics as a tool to create visual cartographies with the ecoacoustics from Delta del Llobregat Natural Park."
"Filipa Magalhães","Music, performance, and preservation: insights into documentation strategies for music theatre works"
"Filipe Calegario","Being (A)part of NIME: Embracing Latin American Perspectives"
"Filipe Calegario","Documentation and Replicability in the NIME Community"
"Filipe Calegario","Probatio 1.0: collaborative development of a toolkit for functional DMI prototypes"
"Filipe Calegario","Gambiarra and Techno Vernacular Creativity in NIME Research"
"Filipe Calegario","Designing DMIs with(in) a Music Culture: A Participatory Design Process with the Xambá Quilombola Community"
"Filippo Angeloni","Esteso: Interactive AI Music Duet Based on Player-Idiosyncratic Extended Double Bass Techniques"
"Filippo Fabrocini","Deep Permutation Design: A New Potential Artificial Intelligence-Based Design Methodology"
"Finn Petrie","Epiphytic Memory: A Cognitive Assemblage of Plant-Human-Technology"
"Fiona Crisp","Ruptures and Wrong-Footings: Destabilizing Disciplinary Cultures"
"Fiona Johnstone","Collaborations in Art and Medicine: Institutional Critique, Patient Participation, and Emerging Entanglements"
"Fiona You Wang","Spacetime Dialogue: Integrating Astronomical Data and Khoomei in Spatial Installation"
"Flavio Noca","Leonardo da Vinci’s Visualization of Gravity as a Form of Acceleration"
"Flora Parrott","Conversations in Caves"
"Florence Clavaud","RiC-O Converter: A Software to Convert EAC-CPF and EAD 2002 XML Files to RDF Datasets Conforming to Records in Contexts Ontology"
"Florence Vinit","Resonance: A Brain-Computer Interface Assemblage of EEG, Sound, and Therapeutic Clowns for the Detection of Consciousness"
"Florent Berthaut","Vibrating shapes: Design and evolution of a spatial augmented reality interface for actuated instruments"
"Florent Berthaut","A Taxonomy of Spectator Experience Augmentation Techniques"
"Florent Berthaut","The Effect of Control-Display Ratio on User Experience in Immersive Virtual Musical Instruments"
"Florent Berthaut","All You Need Is LOD : Levels of Detail in Visual Augmentations for the Audience"
"Florent Berthaut","MagneTip: Reintroducing a Physical Interaction Loop for 3D Musical Drawing in eXtended Reality"
"Florent Berthaut","Adapting & Openness: Dynamics of Collaboration Interfaces for Heterogeneous Digital Orchestras"
"Florent Berthaut","The Effect of Visualisation Level and Situational Visibility in Co-located Digital Musical Ensembles"
"Florent Berthaut","Musical Exploration of Volumetric Textures in Mixed and Virtual Reality"
"Florian Christoph Bruggisser","reconFIGURE: Confronting Audiences with Digital Doppelgängers"
"Florian Frieß","Molecular Planets"
"Florian Goeschke","Exploring Design Patterns for Spatial Instruments: User-Driven Strategies, Spatialized Synthesis and Loudspeaker Topologies"
"Florian Grond","Resonance: A Brain-Computer Interface Assemblage of EEG, Sound, and Therapeutic Clowns for the Detection of Consciousness"
"Florian Jenett","‘I gave that cue.’ Integrating dance studies, praxeology, and computational perspectives to model change in the case study of William Forsythe’s Duo"
"Florian Spiess","Annotations as Knowledge Practices in Image Archives: Application of Linked Open Usable Data and Machine Learning"
"Florian Stenger","Interactive Evolution of a Bicontinuous Structure"
"Florian Strohm","Usable and Fast Interactive Mental Face Reconstruction"
"Florian Windhager","Monster in a Snow Globe: Biographies as Data Physicalizations"
"Flávio Raffaelli Fonseca","Virtual Reconstruction of the Deconstructed Heritage: The Former Building of the Belo Horizonte School of Medicine"
"Flávio Schiavoni","Fliperama: An affordable Arduino based MIDI Controller"
"Flóra Barkóczi","Experimental archiving. Artpool’s website as a digital archive of underground art in Hungary"
"Foroozan Daneshzand","Design Process of 'Shredded Lives': An Illustrated Exploration"
"Forrest Meggers","Thermal Music: Exploring Sensation of Temperature as a Performance Parameter"
"Frances Liddell","The NFT memento: digital thingness and NFTs in exhibition design"
"Frances M. Brazier","Tele_Trust and Touch My Touch: co-creating social touch and trust experience through telematic platforms"
"Francesca Benatti","Experiential Observations: An Ontology Pattern-Based Study on Capturing the Potential Content within Evidences of Experiences"
"Francesca Murano","Describing Inscriptions of Ancient Italy. The ItAnt Project and Its Information Encoding Process"
"Francesca Samsel","Printmaking, Puzzles, and Studio Closets: Using Artistic Metaphors to Reimagine the User Interface for Designing Immersive Visualizations"
"Francesca Samsel","Affective, Hand-Sculpted Glyph Forms for Engaging and Expressive Scientific Visualization"
"Francesca Samsel","Mixtures of Human Experience, Intellectual Analysis, Data Representation and Our Natural Environment"
"Francesca Samsel","Interviews with the Ice: Art and Science"
"Francesca Samsel","Associative Forms for Encoding Multivariate Climate Data"
"Francesca Samsel","What's My Line? Exploring the Expressive Capacity of Lines in Scientific Visualization"
"Francesca Samsel","Affective Palettes for Scientific Visualization: Grounding Environmental Data in the Natural World"
"Francesca Tomasi","ICON: An Ontology for Comprehensive Artistic Interpretations"
"Francesca Tomasi","CLEF. A Linked Open Data Native System for Crowdsourcing"
"Francesca Zanghellini","Sharing the Same Sound: Reflecting on Interactions between a Live Coder and a Violinist"
"Francesco Ardan Dal Rì","Sharing the Same Sound: Reflecting on Interactions between a Live Coder and a Violinist"
"Francesco Ardan Dal Rì","Exploring Musical Form: Digital Scores to Support Live Coding Practice"
"Francesco Ardan Dal Rí","Accessibility of Graphic Scores: Design and Evaluation of Tactile Supports for Blind People"
"Francesco Chiossi","Towards an Implicit Metric of Sensory-Motor Accuracy: Brain Responses to Auditory Prediction Errors in Pianists"
"Francesco Di Maggio","The EAVI ExG Muscle/brain hybrid physiological sensing"
"Francesco Manenti","Accessibility of Graphic Scores: Design and Evaluation of Tactile Supports for Blind People"
"Francesco Ragusa","Learning to Detect Attended Objects in Cultural Sites with Gaze Signals and Weak Object Supervision"
"Francis Bernard","Resonance: A Brain-Computer Interface Assemblage of EEG, Sound, and Therapeutic Clowns for the Detection of Consciousness"
"Francisca Morand","Fragile Intersections: An Installaformance as System"
"Francisca Rocha Gonçalves","DIS_turbation: An Artistic Approach to Foster Nature-Connectedness"
"Francisco Barrientos","A Robust Monitoring Platform for Rural Cultural and Natural Heritage"
"Francisco Botello","EXPANDING ACCESS TO MUSIC TECHNOLOGY: Rapid Prototyping Accessible Instrument Solutions For Musicians With Intellectual Disabilities"
"Francisco Dias","The Invisible Family"
"Francisco Enrique Vicente G Castro","Body and Code: A Distributed Cognition Exploration Into Dance and Computing Learning"
"Francisco Gerardo Toledo Ramirez","Sentience and The Virtual Body, From Dual Subjectivity to the Eros Effect"
"Francisco Gerardo Toledo Ramírez","Without Stones there is no Arch. Subjectivity and Identity Production in Virtual World Aesthetics"
"Francisco Jiménez Alcarria","The Petrified Object and the Poetics of Time in Cinema"
"Francisco Queiroz","Advancing the Use of Games as a Model for Scientific Practice"
"Francisco Ramón Feito-Higueruela","Integrated Information System for 3D Interactive Reconstruction of an Archaeological Site"
"Franck Dernoncourt","TaleStream: Supporting Story Ideation with Trope Knowledge"
"Frank Heyen","DaRt: Generative Art using Dimensionality Reduction Algorithms"
"Frank Mondelli","Aimi Hamraie – Aesthetic In-Access: Notes from the CripTech Metaverse Lab"
"Frank Mondelli","Aesthetic In-Access: Notes from the CripTech Metaverse Lab"
"Frank Scherbaum","Computer-assisted Analysis of Field Recordings: A Case Study of Georgian Funeral Songs"
"Frankie Jenner","Sweet & Sour Power: The Practice and Social Metaphor of Pickling"
"Franklin Mingzhe Li","Understanding Visual Arts Experiences of Blind People"
"Frans Vogelaar","Deep Space: Re-signifying Vale de los Caídos"
"Franziska Mack","Algaphon: Transducing Human Input to Photosynthetic Radiation Parameters in Algae Timescale"
"Franziska Pilling","Making AI-Infused Products and Services More Legible"
"Franziska Roesner","Reframe: An Augmented Reality Storyboarding Tool for Character-Driven Analysis of Security & Privacy Concerns"
"Franziska Schroeder","Cross-Pollinating Ecological Perspectives in ADMI Design and Evaluation"
"Franziska Schroeder","GIVME: Guided Interactions in Virtual Musical Environments"
"François Garnier","Feeling One’s Way: In Search of a Symbiotic Vocabulary of the Virtual"
"François Garnier","The Hitchcock Experience - a Spatial Montage project"
