"name","is_institution","formal_version","chinese_name","related_university"
"Fun Theory/BeFun Lab",True,"Fun Theory/BeFun Lab","Fun Theory/BeFun实验室",NULL
"Furtwangen University",False,"Furtwangen University","福特旺根应用科技大学",NULL
"FUXI Netease AI Lab",True,"FUXI Netease AI Lab","网易伏羲人工智能实验室",NULL
"George Mason University",False,"George Mason University","乔治梅森大学",NULL
"Georgetown University",False,"Georgetown University","乔治城大学",NULL
"Georgia Institute of Technology",False,"Georgia Institute of Technology","佐治亚理工学院",NULL
"Georgia State University",False,"Georgia State University","乔治亚州立大学",NULL
"German Archaeological Institute",True,"German Archaeological Institute","德国考古研究所",NULL
"German Maritime Museum - Leibniz-Institute for Maritime History",True,"German Maritime Museum - Leibniz-Institute for Maritime History","德国海事博物馆-莱布尼茨海事历史研究所",NULL
"Ghent University",False,"Ghent University","根特大学",NULL
"Goddard College",False,"Goddard College","戈达德学院",NULL
"Goethe University Frankfurt",False,"Goethe University Frankfurt","德国法兰克福大学",NULL
"Gold Coast",True,"Gold Coast","黄金海岸",NULL
"Goldsmiths, University of London",False,"Goldsmiths, University of London","伦敦大学金史密斯学院",NULL
"Google",True,"Google","谷歌",NULL
"Google Research",True,"Google Research","谷歌研究院",NULL
"GRAME-CNCM",True,"GRAME-CNCM","GRAME国家音乐创作中心",NULL
"Great Ormond Street Hospital for Children, NHS Foundation Trust",True,"Great Ormond Street Hospital for Children, NHS Foundation Trust","大奥蒙德街儿童医院 NHS 基金会信托","University College London"
"Gretagrip.com",True,"Gretagrip.com","Gretagrip.com",NULL
"Griffith University",False,"Griffith University","格里菲斯大学",NULL
"Guangdong Polytechnic of Industry & Commerce",False,"Guangdong Polytechnic of Industry & Commerce","广东工商职业技术学院",NULL
"Guangdong University of Technology",False,"Guangdong University of Technology","广东工业大学",NULL
"Guangzhou Academy of Fine Arts",False,"Guangzhou Academy of Fine Arts","广州美术学院",NULL
"Gustave Eiffel University",False,"Gustave Eiffel University","居斯塔夫·埃菲尔大学",NULL
"H-FARM Innovation",True,"H-FARM Innovation","H-FARM创新机构","Ca' Foscari University of Venice"
"Hackatao",True,"Hackatao","Hackatao",NULL
"Hamad Bin Khalifa University",False,"Hamad Bin Khalifa University","哈马德·本·哈利法大学",NULL
"Hampshire College",False,"Hampshire College","汉普郡学院",NULL
"Hankuk University of Foreign Studies",False,"Hankuk University of Foreign Studies","韩国外国语大学",NULL
"Hanyang University",False,"Hanyang University","汉阳大学",NULL
"Harvard University",False,"Harvard University","哈佛大学",NULL
"Harvest Community Sector Consulting",True,"Harvest Community Sector Consulting","丰收社区部门咨询公司",NULL
"Hasso Plattner Institute",True,"Hasso Plattner Institute","哈索·普拉特纳研究所","University of Potsdam"
"Hasso-Plattner-Institute",True,"Hasso-Plattner-Institute","哈索·普拉特纳研究院","University of Potsdam"
"HE2B-ISIB",False,"HE2B-ISIB","HE2B-ISIB",NULL
"Heavenue",True,"Heavenue","Heavenue",NULL
"Hebei GEO University",False,"Hebei GEO University","河北地质大学",NULL
"HEC Montréal",False,"HEC Montréal","蒙特利尔高等商学院",NULL
"Hellenic Mediterranean University",False,"Hellenic Mediterranean University","希腊地中海大学",NULL
"Hellenic Open University",False,"Hellenic Open University","希腊开放大学",NULL
"Helwan University",False,"Helwan University","赫尔万大学",NULL
"Heriot-Watt University",False,"Heriot-Watt University","赫瑞瓦特大学",NULL
"HES-SO University of Applied Sciences and Arts Western Switzerland",False,"HES-SO University of Applied Sciences and Arts Western Switzerland","瑞士西部应用科学与艺术大学",NULL
"HfM Detmold",False,"HfM Detmold","德特莫尔德音乐学院",NULL
"Hi-tech Research Institute of Qingzhou",True,"Hi-tech Research Institute of Qingzhou","青州高科技研究院",NULL
"HiDream.ai Inc.",True,"HiDream.ai Inc.","HiDream.ai公司",NULL
"Highland Park",True,"Highland Park","高地公园",NULL
"Hiroshima Jogakuin Senior High School",False,"Hiroshima Jogakuin Senior High School","广岛女学院高中",NULL
"HKU University of the Arts Utrecht",False,"HKU University of the Arts Utrecht","乌得勒支艺术学院",NULL
"Hochschule Anhalt",False,"Hochschule Anhalt","安哈尔特应用技术大学",NULL
"Hochschule für Künste Bremen",False,"Hochschule für Künste Bremen","不来梅艺术学院",NULL
"Hong Kong Baptist University",False,"Hong Kong Baptist University","香港浸会大学",NULL
"Hong Kong Metropolitan University",False,"Hong Kong Metropolitan University","香港都会大学",NULL
"Hong Kong Shue Yan University",False,"Hong Kong Shue Yan University","香港树仁大学",NULL
"Hoseo University",False,"Hoseo University","湖西大学",NULL
"HU University of Applied Sciences Utrecht",False,"HU University of Applied Sciences Utrecht","乌特勒支应用科技大学",NULL
"Humboldt University of Berlin",False,"Humboldt University of Berlin","柏林洪堡大学",NULL
"Hunan University",False,"Hunan University","湖南大学",NULL
"Hunan University of Technology",False,"Hunan University of Technology","湖南工业大学",NULL
"Hunter College",False,"Hunter College","亨特学院",NULL
"Huygens Institute for the History of the Netherlands",True,"Huygens Institute for the History of the Netherlands","荷兰惠更斯历史研究所","University of Amsterdam"
"Hybrid Space Lab",True,"Hybrid Space Lab","Hybrid Space Lab",NULL
"IAA SETI Permanent Committee",True,"IAA SETI Permanent Committee","国际宇航科学院地外文明搜寻常设委员会",NULL
"IamArtMap",True,"IamArtMap","IamArtMap平台",NULL
"IAMAS",True,"IAMAS","IAMAS","Institute of Advanced Media Arts and Sciences, Japan"
"Iceland University of the Arts",False,"Iceland University of the Arts","冰岛艺术大学",NULL
"Idyll Collective",True,"Idyll Collective","Idyll Collective工作室",NULL
"IHC FCSH NOVA de Lisboa",True,"IHC FCSH NOVA de Lisboa","里斯本新大学IHC FCSH中心","Universidade Nova de Lisboa"
"IIIT-Delhi",False,"IIIT-Delhi","印度德里国际信息技术学院",NULL
"IIM Indore",False,"Indian Institute of Management Indore","印度管理学院印多尔分校",NULL
"IKLECTIK",True,"IKLECTIK","IKLECTIK",NULL
"Illinois State University",False,"Illinois State University","伊利诺伊州立大学",NULL
"Imagineering Institute",True,"Imagineering Institute","想象工程研究所",NULL
"Immersive Arts Space",True,"Immersive Arts Space","沉浸式艺术空间","Zurich University of the Arts"
"Imperial College London",False,"Imperial College London","伦敦帝国学院",NULL
"imui e.V.",True,"imui e.V.","imui e.V.",NULL
"In Between Time",True,"In Between Time","In Between Time艺术机构",NULL
"Independent Researcher/Artist",True,"Independent Researcher/Artist","独立研究者/艺术家",NULL
"Indian Institute of Technology Kanpur",False,"Indian Institute of Technology Kanpur","印度理工学院坎普尔分校",NULL
"Indian Institute of Technology Roorkee",False,"Indian Institute of Technology Roorkee","印度理工学院鲁尔基分校",NULL
"Indiana University",False,"Indiana University","印第安纳大学",NULL
"INESC TEC",True,"INESC TEC","INESC TEC","University of Porto"
"INESC-TEC",True,"INESC-TEC","INESC-TEC研究所","University of Porto"
"INREV Laboratory",True,"INREV Laboratory","INREV实验室","Université Paris 8"
"Inria",True,"Inria","法国国家信息与自动化研究所","Université Paris-Saclay"
"INRS",False,"INRS","魁北克国家科学研究院",NULL
"INSA Lyon",True,"INSA Lyon","里昂国立应用科学学院","Institut National des Sciences Appliquées de Lyon"
"INSERM UMRS 1028",True,"INSERM UMRS 1028","法国国家健康与医学研究院 UMRS 1028",NULL
"Institut de Recherche en Informatique de Toulouse",True,"Institut de Recherche en Informatique de Toulouse","图卢兹信息学研究所","Université de Toulouse"
"Institut national d'histoire de l'art (INHA)",True,"Institut national d'histoire de l'art (INHA)","法国国家艺术史研究所","Université Paris 1 Panthéon-Sorbonne"
"Institut National des Sciences Appliquées de Lyon",False,"Institut National des Sciences Appliquées de Lyon","里昂国立应用科学学院",NULL
"Institute for Arts & Media",True,"Institute for Arts & Media","艺术与媒体研究所","University of Potsdam"
"Institute for Future Technologies",True,"Institute for Future Technologies","未来技术研究所",NULL
"Institute for Human Sciences",True,"Institute for Human Sciences","人类科学研究所",NULL
"Institute for Human Sciences, Vienna",True,"Institute for Human Sciences, Vienna","维也纳人类科学研究所",NULL
"Institute for Research and Development on Inclusion and Society",True,"Institute for Research and Development on Inclusion and Society","包容与社会研究与发展研究所",NULL
"Institute of Advanced Media Arts and Sciences",False,"Institute of Advanced Media Arts and Sciences","高级媒体艺术与科学研究所",NULL
"Institute of Advanced Media Arts and Sciences, Japan",False,"Institute of Advanced Media Arts and Sciences, Japan","日本先进媒体艺术与科学学院",NULL
"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",True,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center","合肥综合性国家科学中心人工智能研究院","University of Science and Technology of China"
"Institute of Automation, Chinese Academy of Sciences",True,"Institute of Automation, Chinese Academy of Sciences","中国科学院自动化研究所",NULL
"Institute of Computing Technology, Chinese Academy of Sciences",True,"Institute of Computing Technology, Chinese Academy of Sciences","中国科学院计算技术研究所",NULL
"Institute of Information Engineering, Chinese Academy of Sciences",True,"Institute of Information Engineering, Chinese Academy of Sciences","中国科学院信息工程研究所",NULL
"Institute of Information Science and Technologies “Alessandro Faedo” (ISTI), National Research Council (CNR)",True,"Institute of Information Science and Technologies “Alessandro Faedo” (ISTI), National Research Council (CNR)","意大利国家研究委员会亚历山德罗·法多信息科学与技术研究所","University of Pisa"
"Institute of Marine and Environmental Technology",True,"Institute of Marine and Environmental Technology","海洋与环境技术研究所",NULL
"Intermedia Projects, Inc.",True,"Intermedia Projects, Inc.","Intermedia Projects, Inc.",NULL
"International Audio Laboratories Erlangen",True,"International Audio Laboratories Erlangen","埃尔朗根国际音频实验室","Friedrich-Alexander-Universität Erlangen-Nürnberg"
"International Drama School Rose Bruford College",False,"International Drama School Rose Bruford College","罗丝·布鲁福德学院国际戏剧学校",NULL
"International Islamic University Islamabad",False,"International Islamic University Islamabad","伊斯兰堡国际伊斯兰大学",NULL
"International University of La Rioja",False,"International University of La Rioja","拉里奥哈国际大学",NULL
"Ionian University",False,"Ionian University","爱奥尼亚大学",NULL
"Iowa State University",False,"Iowa State University","爱荷华州立大学",NULL
"IPL - Escola Superior de Dança",False,"IPL - Escola Superior de Dança","IPL高等舞蹈学院",NULL
"IPSec Pty Ltd",True,"IPSec Pty Ltd","IPSec有限公司",NULL
"Ircam",False,"Ircam","法国声学/音乐协调研究所",NULL
"Ircam–CNRS–SU",True,"Ircam–CNRS–SU","法国声学/音乐协调研究所–国家科学研究中心–索邦大学","Sorbonne Université"
"IRISIB Lab",True,"IRISIB Lab","IRISIB实验室",NULL
"ISCTE - Instituto Universitário de Lisboa",True,"ISCTE - Instituto Universitário de Lisboa","里斯本大学ISCTE研究所","University Institute of Lisbon"
"ISEA Symposium Archives",True,"ISEA Symposium Archives","ISEA研讨会档案",NULL
"ISI Foundation",True,"ISI Foundation","ISI基金会",NULL
"Israel Institute of Technology",False,"Israel Institute of Technology","以色列理工学院",NULL
"Istanbul Technical University",False,"Istanbul Technical University","伊斯坦布尔技术大学",NULL
"ISTC-CNR",True,"ISTC-CNR","国家研究委员会ISTC研究所",NULL
"Istituto di Linguistica Computazionale “A. Zampolli”, CNR",True,"Istituto di Linguistica Computazionale “A. Zampolli”, CNR","CNR语言计算研究所（A. Zampolli）",NULL
"Istituto Veneto di Scienze, Lettere ed Arti",True,"Istituto Veneto di Scienze, Lettere ed Arti","威尼托科学、文学与艺术学院",NULL
"IT University",False,"IT University","IT大学",NULL
"IT University of Copenhagen",False,"IT University of Copenhagen","哥本哈根IT大学",NULL
"Italian Institute of Technology",True,"Italian Institute of Technology","意大利技术研究院",NULL
"ITI/LARSyS",True,"ITI/LARSyS","ITI/LARSyS","University of Lisbon"
"IXLAB",True,"IXLAB","IXLAB","Humboldt University of Berlin"
"Jacobs University",False,"Jacobs University","雅各布大学",NULL
"Jagiellonian University",False,"Jagiellonian University","雅盖隆大学",NULL
"Jagiellonian University in Kraków",False,"Jagiellonian University in Kraków","克拉科夫雅盖隆大学",NULL
"Jaipuria Institute of Management",False,"Jaipuria Institute of Management","斋浦尔管理学院",NULL
"Jameson Fine Art",True,"Jameson Fine Art","詹姆森美术馆",NULL
"Janáček Academy of Music and Performing Arts",False,"Janáček Academy of Music and Performing Arts","雅纳切克音乐与表演艺术学院",NULL
"Japanese-French Laboratory for Informatics (JFLI), CNRS",True,"Japanese-French Laboratory for Informatics (JFLI), CNRS","法国国家科学研究中心日法信息学实验室","The University of Tokyo"
"JD AI",True,"JD AI","京东人工智能",NULL
"JD Explore Academy",True,"JD Explore Academy","京东探索研究院",NULL
"Jerusalem College of Technology",False,"Jerusalem College of Technology","耶路撒冷技术学院",NULL
"Jiangnan University",False,"Jiangnan University","江南大学",NULL
"Jilin University",False,"Jilin University","吉林大学",NULL
"Jinan University",False,"Jinan University","暨南大学",NULL
"Jingchu University of Technology",False,"Jingchu University of Technology","荆楚理工学院",NULL
"Johannes Kepler University",False,"Johannes Kepler University","约翰内斯·开普勒大学",NULL
"Johannes Kepler University Linz",False,"Johannes Kepler University Linz","林茨约翰内斯·开普勒大学",NULL
"Johns Hopkins University",False,"Johns Hopkins University","约翰斯·霍普金斯大学",NULL
"JUNIA",False,"JUNIA","JUNIA",NULL
"Junya Taguchi Photography Office",True,"Junya Taguchi Photography Office","田口淳也摄影工作室",NULL
"Kadir Has University",False,"Kadir Has University","卡迪尔·哈斯大学",NULL
"Kansas State University",False,"Kansas State University","堪萨斯州立大学",NULL
"Karlsruhe Institute of Technology",False,"Karlsruhe Institute of Technology","卡尔斯鲁厄理工学院",NULL
"Karlsruhe University of Arts and Design",False,"Karlsruhe University of Arts and Design","卡尔斯鲁厄艺术与设计大学",NULL
"Keda Music Inc.",True,"Keda Music Inc.","科达音乐公司",NULL
"Keimyung University",False,"Keimyung University","启明大学",NULL
"Keio University",False,"Keio University","庆应义塾大学",NULL
"Kendall-Bar Studios",True,"Kendall-Bar Studios","Kendall-Bar工作室",NULL
"Kent State University",False,"Kent State University","肯特州立大学",NULL
"King Abdulaziz University",False,"King Abdulaziz University","阿卜杜勒阿齐兹国王大学",NULL
"King Juan Carlos University",False,"King Juan Carlos University","胡安·卡洛斯国王大学",NULL
"King Mongkut’s Institute of Technology Ladkrabang",True,"King Mongkut’s Institute of Technology Ladkrabang","国王蒙库特科技大学拉卡邦分校",NULL
"King's College London",False,"King's College London","伦敦国王学院",NULL
"Kingston University",False,"Kingston University","金斯顿大学",NULL
"KMH Royal College of Music",False,"KMH Royal College of Music","瑞典皇家音乐学院",NULL
"KNAW Humanities Cluster",True,"KNAW Humanities Cluster","荷兰皇家艺术与科学学院人文集群","University of Amsterdam"
"KNAW Humanities Cluster DHLab",True,"KNAW Humanities Cluster DHLab","荷兰皇家艺术与科学学院人文数字实验室","University of Amsterdam"
"KnownOrigin.io",True,"KnownOrigin.io","KnownOrigin.io",NULL
"Kobe Design University",False,"Kobe Design University","神户设计大学",NULL
"Kolodzei Art Foundation",True,"Kolodzei Art Foundation","科洛泽艺术基金会",NULL
"Konstfack",False,"Konstfack","瑞典国立工艺美术学院",NULL
"Konya Food and Agriculture University",False,"Konya Food and Agriculture University","科尼亚食品与农业大学",NULL
"Konya Technical University",False,"Konya Technical University","科尼亚技术大学",NULL
"Kookmin University",False,"Kookmin University","国民大学",NULL
"Korea Advanced Institute of Science and Technology",False,"Korea Advanced Institute of Science and Technology","韩国科学技术院",NULL
"Korea Astronomy & Space Science Institute",True,"Korea Astronomy & Space Science Institute","韩国天文研究院","Korea Advanced Institute of Science and Technology"
"Korea National University of Cultural Heritage",False,"Korea National University of Cultural Heritage","韩国国立文化遗产大学",NULL
"Korea Position Technology",True,"Korea Position Technology","韩国定位技术公司",NULL
"Korea University",False,"Korea University","高丽大学",NULL
"Kristiania University College",False,"Kristiania University College","克里斯蒂安尼亚大学学院",NULL
"KTH Royal Institute of Technology",False,"KTH Royal Institute of Technology","瑞典皇家理工学院",NULL
"KU Leuven",False,"KU Leuven","鲁汶大学",NULL
"Kunsthochschule Kassel",False,"Kunsthochschule Kassel","卡塞尔艺术学院",NULL
"Kwantlen Polytechnic University",False,"Kwantlen Polytechnic University","昆特兰理工大学",NULL
"Kyiv National University of Culture and Arts",False,"Kyiv National University of Culture and Arts","基辅国立文化与艺术大学",NULL
"Kyiv National University of Technologies and Design",False,"Kyiv National University of Technologies and Design","基辅国立技术与设计大学",NULL
"Kyiv University of Culture",False,"Kyiv University of Culture","基辅文化大学",NULL
"Kyoto Institute of Technology",False,"Kyoto Institute of Technology","京都工艺纤维大学",NULL
"Kyoto Seika University",False,"Kyoto Seika University","京都精华大学",NULL
"Kyoto University",False,"Kyoto University","京都大学",NULL
"Kyung Hee University",False,"Kyung Hee University","庆熙大学",NULL
"Kyushu University",False,"Kyushu University","九州大学",NULL
"L.N. Gumilyov Eurasian National University",False,"L.N. Gumilyov Eurasian National University","L.N.古米廖夫欧亚国立大学",NULL
"Lab of the Archives nationales",True,"Lab of the Archives nationales","法国国家档案馆实验室",NULL
"Laboratoire DICEN-IDF",True,"Laboratoire DICEN-IDF","DICEN-IDF实验室","Université Paris Nanterre"
"Laboratoire Victor Vérité",True,"Laboratoire Victor Vérité","维克多·韦里特实验室",NULL
"Laboratory for Experimental Museology, EPFL",True,"Laboratory for Experimental Museology, EPFL","洛桑联邦理工学院实验博物馆学实验室","École Polytechnique Fédérale de Lausanne"
"LadHyX, CNRS-Ecole Polytechnique",True,"LadHyX, CNRS-Ecole Polytechnique","法国国家科学研究中心-巴黎综合理工学院水力学实验室","L’École Polytechnique"
"Lancaster University",False,"Lancaster University","兰卡斯特大学",NULL
"Lanzhou University",False,"Lanzhou University","兰州大学",NULL
"LARSyS",True,"LARSyS","LARSyS研究所","University of Madeira"
"LASALLE College of the Arts",False,"LASALLE College of the Arts","拉萨尔艺术学院",NULL
"LASALLE College of the Arts, University of the Arts Singapore",False,"LASALLE College of the Arts, University of the Arts Singapore","新加坡艺术大学拉萨尔艺术学院",NULL
"Leeds Beckett University",False,"Leeds Beckett University","利兹贝克特大学",NULL
"Leeds Conservatoire",False,"Leeds Conservatoire","利兹音乐学院",NULL
"Lehigh University",False,"Lehigh University","李海大学",NULL
"Leibniz Information Centre for Science and Technology",True,"Leibniz Information Centre for Science and Technology","莱布尼茨科学与技术信息中心","Leibniz University Hannover"
"Leibniz University Hannover",False,"Leibniz University Hannover","莱布尼茨汉诺威大学",NULL
"Leiden University",False,"Leiden University","莱顿大学",NULL
"Leipzig University",False,"Leipzig University","莱比锡大学",NULL
"Leningradskaya oblast, Vsevolozhsky raion, p. Pavlovo, Bykova st. 21B, 188680, Russian Federation",True,"Leningradskaya oblast, Vsevolozhsky raion, p. Pavlovo, Bykova st. 21B, 188680, Russian Federation","俄罗斯联邦，列宁格勒州，弗谢沃洛日斯基区，帕夫洛沃村，比科娃街 21B，邮编 188680",NULL
"Leuphana University",False,"Leuphana University","吕法纳大学",NULL
"Leuphana University of Lüneburg",False,"Leuphana University of Lüneburg","吕讷堡莱布尼茨大学",NULL
"Leuphana Universität Lüneburg",False,"Leuphana University of Lüneburg","吕讷堡大学",NULL
"Lewis & Clark College",False,"Lewis & Clark College","路易斯与克拉克学院",NULL
"Liepaja University",False,"Liepaja University","利耶帕亚大学",NULL
"LINE Plus Corp.",True,"LINE Plus Corp.","LINE Plus公司",NULL
"Lisbon Polytechnic Institute",False,"Lisbon Polytechnic Institute","里斯本理工学院",NULL
"Lithuanian Interdisciplinary Artist’s Association",True,"Lithuanian Interdisciplinary Artist’s Association","立陶宛跨学科艺术家协会",NULL
"Liverpool John Moores University",False,"Liverpool John Moores University","利物浦约翰摩尔大学",NULL
"LMU Munich",False,"LMU Munich","慕尼黑大学",NULL
"London School of Economics and Political Science",False,"London School of Economics and Political Science","伦敦政治经济学院",NULL
"London South Bank University",False,"London South Bank University","伦敦南岸大学",NULL
"Loughborough University",False,"Loughborough University","拉夫堡大学",NULL
"Loughborough University London",False,"Loughborough University London","拉夫堡大学伦敦校区",NULL
"Louisiana State University",False,"Louisiana State University","路易斯安那州立大学",NULL
"Loyola University Chicago",False,"Loyola University Chicago","芝加哥洛约拉大学",NULL
"LUCA School of Arts",False,"LUCA School of Arts","LUCA艺术学院",NULL
"Ludwig-Maximilians-University, Munich",False,"Ludwig-Maximilians-University, Munich","慕尼黑路德维希-马克西米利安大学",NULL
"Luleå University of Technology",False,"Luleå University of Technology","吕勒奥理工大学",NULL
"Lund University",False,"Lund University","隆德大学",NULL
"Lusófona University",False,"Lusófona University","卢索福纳大学",NULL
"LUT University",False,"Lappeenranta-Lahti University of Technology","拉彭兰塔-拉赫蒂理工大学",NULL
"LWT3",True,"LWT3","LWT3",NULL
"Lynn University",False,"Lynn University","林恩大学",NULL
"Lyon Neuroscience Research Center",True,"Lyon Neuroscience Research Center","里昂神经科学研究中心",NULL
"Léonard de Vinci Pôle Universitaire",False,"Léonard de Vinci Pôle Universitaire","达芬奇大学中心",NULL
"Léonard de Vinci Pôle Universitaire, Research Center, Paris",True,"Léonard de Vinci Pôle Universitaire, Research Center, Paris","巴黎莱昂纳多·达·芬奇大学研究中心","Université Paris 8"
"L’École Polytechnique",False,"L’École Polytechnique","巴黎综合理工学院",NULL
"Maastricht University",False,"Maastricht University","马斯特里赫特大学",NULL
"Machine Learning Innovation Centre, Music Tribe",True,"Machine Learning Innovation Centre, Music Tribe","Music Tribe机器学习创新中心",NULL
"Macquarie University",False,"Macquarie University","麦考瑞大学",NULL
"Maine College of Art",False,"Maine College of Art","缅因艺术学院",NULL
"Malmö University",False,"Malmö University","马尔默大学",NULL
"Mammalian Diving Reflex",True,"Mammalian Diving Reflex","哺乳动物潜水反射艺术机构",NULL
"Mana Contemporary Chicago",True,"Mana Contemporary Chicago","芝加哥现代艺术中心",NULL
"Manchester Metropolitan University",False,"Manchester Metropolitan University","曼彻斯特城市大学",NULL
"Manipal Academy of Higher Education",False,"Manipal Academy of Higher Education","马尼帕尔高等教育学院",NULL
"Manipal Institute of Technology",False,"Manipal Institute of Technology","马尼帕尔理工学院",NULL
"Masaryk University",False,"Masaryk University","马萨里克大学",NULL
"Mason Gross School of the Arts, Rutgers University",False,"Mason Gross School of the Arts, Rutgers University","罗格斯大学梅森·格罗斯艺术学院",NULL
"Massachusetts Institute of Technology",False,"Massachusetts Institute of Technology","麻省理工学院",NULL
"Massey University",False,"Massey University","梅西大学",NULL
"Max Planck Institute",True,"Max Planck Institute","马普研究所","Max Planck Society"
"Max Planck Institute for Art History",True,"Max Planck Institute for Art History","马普艺术史研究所","Humboldt University of Berlin"
"Max Planck Institute for Biological Cybernetics",True,"Max Planck Institute for Biological Cybernetics","马普生物网络研究所",NULL
"Max Planck Institute for Empirical Aesthetics",True,"Max Planck Institute for Empirical Aesthetics","马克斯·普朗克经验美学研究所","Goethe University Frankfurt"
"Max Planck Institute for Informatics",True,"Max Planck Institute for Informatics","马克斯·普朗克信息学研究所","Saarland University"
"Max Planck School of Cognition",True,"Max Planck School of Cognition","马普认知研究学院","Leipzig University"
"Max Planck Society",False,"Max Planck Society","马克斯·普朗克学会",NULL
"Maynooth University",False,"Maynooth University","梅努斯大学",NULL
"MBZUAI",False,"MBZUAI","穆罕默德·本·扎耶德人工智能大学",NULL
"MCB Consultants",True,"MCB Consultants","MCB 咨询公司",NULL
"McGill University",False,"McGill University","麦吉尔大学",NULL
"McLean Care",True,"McLean Care","麦克莱恩护理",NULL
"McMaster University",False,"McMaster University","麦克马斯特大学",NULL
"mdw – Universität für Musik und darstellende Kunst Wien",False,"mdw – Universität für Musik und darstellende Kunst Wien","维也纳音乐与表演艺术大学",NULL
"Mechanical Engineering Research Institute of the Russian Academy of Sciences",True,"Mechanical Engineering Research Institute of the Russian Academy of Sciences","俄罗斯科学院机械工程研究所",NULL
"Medical University of Vienna",False,"Medical University of Vienna","维也纳医科大学",NULL
"Meemoo, Flemish Institute for Archives",True,"Meemoo, Flemish Institute for Archives","Meemoo弗兰德档案研究所",NULL
"Meiji University",False,"Meiji University","明治大学",NULL
"Mendocino College",True,"Mendocino College","门多西诺学院",NULL
"Mercedes-Benz Tech Motion GmbH",True,"Mercedes-Benz Tech Motion GmbH","梅赛德斯-奔驰技术运动有限公司",NULL
"Meta",True,"Meta","元宇宙公司",NULL
"Mexico City",True,"Mexico City","墨西哥城",NULL
"Miami University of Ohio",False,"Miami University of Ohio","俄亥俄迈阿密大学",NULL
"Michigan State University",False,"Michigan State University","密歇根州立大学",NULL
"Microsoft",True,"Microsoft","微软",NULL
"Microsoft Research",True,"Microsoft Research","微软研究院",NULL
"Microsoft Research Asia",True,"Microsoft Research Asia","微软亚洲研究院",NULL
"Middle East Technical University",False,"Middle East Technical University","中东技术大学",NULL
"Middlebury College",False,"Middlebury College","明德学院",NULL
"Midjourney",True,"Midjourney","Midjourney",NULL
"MILL - Makers in Little Lisbon",True,"MILL - Makers in Little Lisbon","小里斯本创客中心",NULL
"Mills College",False,"Mills College","米尔斯学院",NULL
"Mills College at Northeastern University",False,"Mills College at Northeastern University","东北大学米尔斯学院",NULL
"mindfactor.at",True,"mindfactor.at","mindfactor.at机构",NULL
"Mines Paris",False,"Mines Paris","巴黎矿业学院",NULL
"Ming Chuan University",False,"Ming Chuan University","铭传大学",NULL
"MintLab",True,"MintLab","MintLab","KU Leuven"
"MIT Museum Studio",True,"MIT Museum Studio","麻省理工学院博物馆工作室","Massachusetts Institute of Technology"
"MIT OpenDoc Lab",True,"MIT OpenDoc Lab","麻省理工学院开放文档实验室","Massachusetts Institute of Technology"
"Monash University",False,"Monash University","莫纳什大学",NULL
"Montclair State University",False,"Montclair State University","蒙特克莱尔州立大学",NULL
"Moscow Polytechnic University",False,"Moscow Polytechnic University","莫斯科国立技术大学",NULL
"Moscow State Conservatory",False,"Moscow State Conservatory","莫斯科国立音乐学院",NULL
"Mozarteum University Salzburg",False,"Mozarteum University Salzburg","萨尔茨堡莫扎特音乐与表演艺术大学",NULL
"MSH Paris Nord",False,"MSH Paris Nord","巴黎北部高等人文学院",NULL
"Mulawarman University",False,"Mulawarman University","穆拉瓦曼大学",NULL
"Murdoch University",False,"Murdoch University","默多克大学",NULL
"Musashino Art University",False,"Musashino Art University","武藏野美术大学",NULL
"Museo Nacional Centro de Arte Reina Sofía",True,"Museo Nacional Centro de Arte Reina Sofía","索菲亚王后国家艺术中心博物馆",NULL
"Museum of Applied Arts and Sciences",True,"Museum of Applied Arts and Sciences","应用艺术与科学博物馆",NULL
"Museum of Fine Arts",True,"Museum of Fine Arts","美术博物馆",NULL
"Museum Ulm",True,"Museum Ulm","乌尔姆博物馆",NULL
"Music Tribe",True,"Music Tribe","Music Tribe",NULL
"Mälardalen University",False,"Mälardalen University","马拉达伦大学",NULL
"NADLinc",True,"NADLinc","NADLinc研究所",NULL
"Nagoya Institute of Technology",False,"Nagoya Institute of Technology","名古屋工业大学",NULL
"Nanjing Agricultural University",False,"Nanjing Agricultural University","南京农业大学",NULL
"Nanjing Forestry University",False,"Nanjing Forestry University","南京林业大学",NULL
"Nanjing University",False,"Nanjing University","南京大学",NULL
"Nanjing University of Information Science and Technology",False,"Nanjing University of Information Science and Technology","南京信息工程大学",NULL
"Nanjing University of the Arts",False,"Nanjing University of the Arts","南京艺术学院",NULL
"Nanyang Technological University",False,"Nanyang Technological University","南洋理工大学",NULL
"Nara Institute of Science and Technology",False,"Nara Institute of Science and Technology","奈良科学技术大学",NULL
"National Academy of Arts",False,"National Academy of Arts","国家艺术学院",NULL
"National and Kapodistrian University of Athens",False,"National and Kapodistrian University of Athens","雅典国立卡波季斯特里安大学",NULL
"National Archives of Vietnam",True,"National Archives of Vietnam","越南国家档案馆",NULL
"National Autonomous University of Mexico",False,"National Autonomous University of Mexico","墨西哥国立自治大学",NULL
"National Cheng Kung University",False,"National Cheng Kung University","国立成功大学",NULL
"National Chengchi University",False,"National Chengchi University","国立政治大学",NULL
